,Unnamed: 0,Регион,reg2,reg3,reg4,abon100
0,0,БЕЛГОРОДСКАЯ ОБЛ.,Белгородская,Белгородская обл.,31,"9,83"
1,1,БРЯНСКАЯ ОБЛ.,Брянская,Брянская обл.,32,"12,46"
2,2,ВЛАДИМИРСКАЯ ОБЛ.,Владимирская,Владимирская обл.,33,"12,38"
3,3,ВОРОНЕЖСКАЯ  ОБЛ.,Воронежская,Воронежская обл.,36,"16,19"
4,4,ИВАНОВСКАЯ ОБЛ.,Ивановская,Ивановская обл.,37,"10,5"
5,5,КАЛУЖСКАЯ ОБЛ.,Калужская,Калужская обл.,40,"15,92"
6,6,КОСТРОМСКАЯ ОБЛ.,Костромская,Костромская обл.,44,"16,38"
7,7,КУРСКАЯ ОБЛ.,Курская,Курская обл.,46,"10,48"
8,8,ЛИПЕЦКАЯ ОБЛ.,Липецкая,Липецкая обл.,48,"12,09"
9,9,МОСКОВСКАЯ ОБЛ.,Московская,Московская обл.,50,"7,92"
10,10,ОРЛОВСКАЯ ОБЛ.,Орловская,Орловская обл.,57,"11,76"
11,11,РЯЗАНСКАЯ ОБЛ.,Рязанская,Рязанская обл.,62,"10,58"
12,12,СМОЛЕНСКАЯ ОБЛ.,Смоленская,Смоленская обл.,67,"13,48"
13,13,ТАМБОВСКАЯ ОБЛ.,Тамбовская,Тамбовская обл.,68,"12,36"
14,14,ТВЕРСКАЯ ОБЛ.,Тверская,Тверская обл.,69,"10,45"
15,15,ТУЛЬСКАЯ ОБЛ.,Тульская,Тульская обл.,71,"15,86"
16,16,ЯРОСЛАВСКАЯ ОБЛ.,Ярославская,Ярославская обл.,76,"18,48"
17,17,г.МОСКВА,Москва,г. Москва,77,"24,59"
18,18,РЕСП. КАРЕЛИЯ,Карелия,Карелия,10,"23,88"
19,19,РЕСП. КОМИ,Коми,Коми,11,"16,5"
20,20,АРХАНГЕЛЬСКАЯ ОБЛ.,Архангельская,Архангельская обл.,29,"15,57"
21,21,ВОЛОГОДСКАЯ ОБЛ.,Вологодская,Вологодская обл.,35,"16,18"
22,22,КАЛИНИНГРАДСКАЯ ОБЛ.,Калининградская,Калининградская обл.,39,"20,2"
23,23,ЛЕНИНГРАДСКАЯ ОБЛ.,Ленинградская,Ленинградская обл.,47,"8,7"
24,24,МУРМАНСКАЯ ОБЛ.,Мурманская,Мурманская обл.,51,"17,15"
25,25,НОВГОРОДСКАЯ ОБЛ.,Новгородская,Новгородская обл.,53,"14,8"
26,26,ПСКОВСКАЯ ОБЛ.,Псковская,Псковская обл.,60,"7,57"
27,27,г.САНКТ-ПЕТЕРБУРГ,Санкт-Петербург,г. Санкт-Петербург,78,"21,94"
28,28,РЕСП. АДЫГЕЯ,Адыгея,Адыгея (Адыгея),1,"4,87"
29,29,РЕСП. КАЛМЫКИЯ,Калмыкия,Калмыкия,8,"6,15"
30,30,КРАСНОДАРСКИЙ КРАЙ,Краснодарский,Краснодарский край,23,"11,43"
31,31,АСТРАХАНСКАЯ ОБЛ.,Астраханская,Астраханская обл.,30,"11,35"
32,32,ВОЛГОГРАДСКАЯ ОБЛ.,Волгоградская,Волгоградская обл.,34,"13,93"
33,33,РОСТОВСКАЯ ОБЛ.,Ростовская,Ростовская обл.,61,"9,89"
34,34,РЕСП. ДАГЕСТАН,Дагестан,Дагестан,5,"0,86"
35,35,КАБАРД.-БАЛКАР. РЕСП.,Кабардино-Балкарская,Кабардино-Балкарская Республика,7,"6,79"
36,36,КАРАЧ.-ЧЕРКЕСС. РЕСП.,Карачаево-Черкесская,Карачаево-Черкесская Республика,9,"5,61"
37,37,РЕСП.СЕВЕРНАЯ-ОСЕТИЯ,Северная Осетия - Алания,Северная Осетия - Алания,15,"6,86"
38,38,ЧЕЧЕНСКАЯ РЕСП.,Чеченская,Чеченская Республика,20,"0,12"
39,39,СТАВРОПОЛЬСКИЙ КРАЙ,Ставропольский,Ставропольский край,26,"8,98"
40,40,РЕСП.БАШКОРТОСТАН,Башкортостан,Башкортостан,2,"16,1"
41,41,РЕСП. МАРИЙ-ЭЛ,Марий Эл,Марий Эл,12,"13,92"
42,42,РЕСП. МОРДОВИЯ,Мордовия,Мордовия,13,"12,13"
43,43,РЕСП. ТАТАРСТАН,Татарстан,Татарстан (Татарстан),16,"21,84"
44,44,УДМУРТСКАЯ РЕСП.,Удмуртская,Удмуртская Республика,18,"17,93"
45,45,ЧУВАШСКАЯ РЕСП.,Чувашская,Чувашская - Чувашия,21,"8,72"
46,46,КИРОВСКАЯ ОБЛ.,Кировская,Кировская обл.,43,"16,73"
47,47,НИЖЕГОРОДСКАЯ ОБЛ.,Нижегородская,Нижегородская обл.,52,"18,19"
48,48,ОРЕНБУРГСКАЯ ОБЛ.,Оренбургская,Оренбургская обл.,56,"14,78"
