Регион,reg2,reg3,reg4,abon100
БЕЛГОРОДСКАЯ ОБЛ.,Белгородская,Белгородская обл.,31,"9,83"
БРЯНСКАЯ ОБЛ.,Брянская,Брянская обл.,32,"12,46"
ВЛАДИМИРСКАЯ ОБЛ.,Владимирская,Владимирская обл.,33,"12,38"
ВОРОНЕЖСКАЯ  ОБЛ.,Воронежская,Воронежская обл.,36,"16,19"
ИВАНОВСКАЯ ОБЛ.,Ивановская,Ивановская обл.,37,"10,5"
КАЛУЖСКАЯ ОБЛ.,Калужская,Калужская обл.,40,"15,92"
КОСТРОМСКАЯ ОБЛ.,Костромская,Костромская обл.,44,"16,38"
КУРСКАЯ ОБЛ.,Курская,Курская обл.,46,"10,48"
ЛИПЕЦКАЯ ОБЛ.,Липецкая,Липецкая обл.,48,"12,09"
МОСКОВСКАЯ ОБЛ.,Московская,Московская обл.,50,"7,92"
ОРЛОВСКАЯ ОБЛ.,Орловская,Орловская обл.,57,"11,76"
РЯЗАНСКАЯ ОБЛ.,Рязанская,Рязанская обл.,62,"10,58"
СМОЛЕНСКАЯ ОБЛ.,Смоленская,Смоленская обл.,67,"13,48"
ТАМБОВСКАЯ ОБЛ.,Тамбовская,Тамбовская обл.,68,"12,36"
ТВЕРСКАЯ ОБЛ.,Тверская,Тверская обл.,69,"10,45"
ТУЛЬСКАЯ ОБЛ.,Тульская,Тульская обл.,71,"15,86"
ЯРОСЛАВСКАЯ ОБЛ.,Ярославская,Ярославская обл.,76,"18,48"
г.МОСКВА,Москва,г. Москва,77,"24,59"
РЕСП. КАРЕЛИЯ,Карелия,Карелия,10,"23,88"
РЕСП. КОМИ,Коми,Коми,11,"16,5"
АРХАНГЕЛЬСКАЯ ОБЛ.,Архангельская,Архангельская обл.,29,"15,57"
ВОЛОГОДСКАЯ ОБЛ.,Вологодская,Вологодская обл.,35,"16,18"
КАЛИНИНГРАДСКАЯ ОБЛ.,Калининградская,Калининградская обл.,39,"20,2"
ЛЕНИНГРАДСКАЯ ОБЛ.,Ленинградская,Ленинградская обл.,47,"8,7"
МУРМАНСКАЯ ОБЛ.,Мурманская,Мурманская обл.,51,"17,15"
НОВГОРОДСКАЯ ОБЛ.,Новгородская,Новгородская обл.,53,"14,8"
ПСКОВСКАЯ ОБЛ.,Псковская,Псковская обл.,60,"7,57"
г.САНКТ-ПЕТЕРБУРГ,Санкт-Петербург,г. Санкт-Петербург,78,"21,94"
РЕСП. АДЫГЕЯ,Адыгея,Адыгея (Адыгея),1,"4,87"
РЕСП. КАЛМЫКИЯ,Калмыкия,Калмыкия,8,"6,15"
КРАСНОДАРСКИЙ КРАЙ,Краснодарский,Краснодарский край,23,"11,43"
АСТРАХАНСКАЯ ОБЛ.,Астраханская,Астраханская обл.,30,"11,35"
ВОЛГОГРАДСКАЯ ОБЛ.,Волгоградская,Волгоградская обл.,34,"13,93"
РОСТОВСКАЯ ОБЛ.,Ростовская,Ростовская обл.,61,"9,89"
РЕСП. ДАГЕСТАН,Дагестан,Дагестан,5,"0,86"
КАБАРД.-БАЛКАР. РЕСП.,Кабардино-Балкарская,Кабардино-Балкарская Республика,7,"6,79"
КАРАЧ.-ЧЕРКЕСС. РЕСП.,Карачаево-Черкесская,Карачаево-Черкесская Республика,9,"5,61"
РЕСП.СЕВЕРНАЯ-ОСЕТИЯ,Северная Осетия - Алания,Северная Осетия - Алания,15,"6,86"
ЧЕЧЕНСКАЯ РЕСП.,Чеченская,Чеченская Республика,20,"0,12"
СТАВРОПОЛЬСКИЙ КРАЙ,Ставропольский,Ставропольский край,26,"8,98"
РЕСП.БАШКОРТОСТАН,Башкортостан,Башкортостан,2,"16,1"
РЕСП. МАРИЙ-ЭЛ,Марий Эл,Марий Эл,12,"13,92"
РЕСП. МОРДОВИЯ,Мордовия,Мордовия,13,"12,13"
РЕСП. ТАТАРСТАН,Татарстан,Татарстан (Татарстан),16,"21,84"
УДМУРТСКАЯ РЕСП.,Удмуртская,Удмуртская Республика,18,"17,93"
ЧУВАШСКАЯ РЕСП.,Чувашская,Чувашская - Чувашия,21,"8,72"
КИРОВСКАЯ ОБЛ.,Кировская,Кировская обл.,43,"16,73"
НИЖЕГОРОДСКАЯ ОБЛ.,Нижегородская,Нижегородская обл.,52,"18,19"
ОРЕНБУРГСКАЯ ОБЛ.,Оренбургская,Оренбургская обл.,56,"14,78"
ПЕНЗЕНСКАЯ ОБЛ.,Пензенская,Пензенская обл.,58,"11,46"
ПЕРМСКИЙ КРАЙ,Пермский,Пермский край,59,"10,37"
САМАРСКАЯ ОБЛ.,Самарская,Самарская обл.,63,"18,41"
САРАТОВСКАЯ ОБЛ.,Саратовская,Саратовская обл.,64,"15,43"
УЛЬЯНОВСКАЯ ОБЛ.,Ульяновская,Ульяновская обл.,73,"16,58"
КУРГАНСКАЯ ОБЛ.,Курганская,Курганская обл.,45,"13,4"
СВЕРДЛОВСКАЯ ОБЛ.,Свердловская,Свердловская обл.,66,"16,75"
ТЮМЕНСКАЯ ОБЛ.,Тюменская,Тюменская обл.,72,"20,52"
ХАНТЫ-МАНСИЙСКИЙ АО,Ханты-Мансийский,Ханты-Мансийский АО - Югра,86,"16,62"
ЯМАЛО-НЕНЕЦКИЙ АО,Ямало-Ненецкий,Ямало-Ненецкий АО,89,"15,33"
ЧЕЛЯБИНСКАЯ ОБЛ.,Челябинская,Челябинская обл.,74,"16,87"
РЕСП. АЛТАЙ,Алтай,Алтай,4,"4,12"
